u,v,Dij
4,24,0.05002824681438704
4,25,0.047591118558860494
4,30,0.05289326139849783
4,33,0.04224441833137485
4,34,0.04288210781018954
4,38,0.04358974358974359
4,41,0.039703938673010836
4,42,0.04689117108510469
4,47,0.04025070438732678
4,48,0.0492458295874538
4,57,0.05303186022610483
4,61,0.0536337670580768
4,62,0.052509831135785334
4,64,0.03989611139167448
4,67,0.0487153134635149
4,71,0.05022359821121431
4,72,0.04626762985896113
4,80,0.047251949936513694
4,81,0.044591611479028695
4,85,0.0463344969850841
4,95,0.052355396541443056
4,97,0.05043572984749455
4,100,0.04402684563758389
4,102,0.052745500113921165
4,113,0.04807869093583379
4,120,0.05442711255751319
4,124,0.04853510226644555
4,125,0.05140131186642814
4,129,0.04816310450113267
4,139,0.05185185185185185
4,146,0.0494195688225539
4,150,0.049845170312656076
4,151,0.051094890510948905
4,153,0.0463344969850841
4,165,0.044266294876263504
4,170,0.05513784461152882
4,179,0.04569402228976697
4,184,0.049335629921259845
4,187,0.050193548387096776
4,190,0.055364173228346455
4,192,0.05328911000552792
4,210,0.04449347306490164
4,221,0.047445684086905464
4,227,0.049297480620155036
4,228,0.04757214616369546
4,232,0.05056595789696393
4,248,0.05174193548387097
4,252,0.05366643534582466
4,272,0.05374328208973878
4,275,0.05661792275965504
4,288,0.04796081111870586
4,314,0.052743407074115733
4,316,0.04929032258064516
4,331,0.047173689619732784
4,335,0.05005049938278532
4,341,0.05179648570679255
4,348,0.050826446280991734
4,361,0.0499047619047619
4,374,0.04760174418604651
4,377,0.04884350393700788
4,383,0.05329032258064516
4,393,0.048368953880764905
4,402,0.05304544848727176
4,444,0.053548387096774196
4,455,0.04921259842519685
4,467,0.0493968253968254
4,499,0.04798228346456693
4,516,0.046875
4,544,0.04996066089693155
4,557,0.05432868175044032
4,581,0.05384126984126984
4,587,0.05111434108527132
4,588,0.054580645161290325
4,599,0.0487741935483871
4,601,0.048634920634920635
4,606,0.05087857330186205
4,610,0.05161290322580645
4,618,0.050451612903225806
4,625,0.05236845394325709
4,627,0.05109677419354839
4,643,0.05035405192761605
4,650,0.04904274849200105
4,661,0.04945866141732284
4,662,0.04930500917912405
4,666,0.051555555555555556
4,675,0.05061631261473905
4,679,0.05022292158405455
4,700,0.052112488337998135
4,706,0.048903225806451615
4,731,0.05202547080341417
4,761,0.05243191979406584
4,762,0.051483870967741936
4,778,0.05337004982953055
4,794,0.05070967741935484
4,805,0.050550964187327824
4,828,0.05365126676602087
4,855,0.05271439811172305
4,862,0.050246568039450885
4,886,0.04918032786885246
4,897,0.053107789142407553
4,904,0.05205874639391555
4,954,0.052778888444622155
4,960,0.04877387887820078
4,965,0.0506464081034253
4,978,0.05238709677419355
5,10,0.0406384569763544
5,11,0.035112256164887744
5,12,0.043198157542560144
5,13,0.03366211202606099
5,15,0.036156081361560816
5,18,0.03842642903716583
