Node,Alpha,HETA_NMI,LDHETA_NMI,Improvement_%
1684,8.0,0.4962,0.2726,-45.06
1684,10.0,0.4962,0.2689,-45.81
1912,-10.0,0.5135,0.5787,12.69
1912,-8.0,0.5135,0.5846,13.85
1912,-6.0,0.5135,0.5861,14.14
1912,-4.0,0.5135,0.5843,13.79
1912,-2.0,0.5135,0.5747,11.93
1912,-1.5,0.5135,0.5723,11.46
1912,-1.0,0.5135,0.5722,11.43
1912,-0.5,0.5135,0.5133,-0.04
1912,-0.1,0.5135,0.5135,0.0
1912,0.0,0.5135,0.5135,0.0
1912,0.1,0.5135,0.5135,0.0
1912,0.5,0.5135,0.4934,-3.92
1912,1.0,0.5135,0.3649,-28.94
1912,1.5,0.5135,0.104,-79.75
1912,2.0,0.5135,0.0708,-86.22
1912,4.0,0.5135,0.0453,-91.18
1912,6.0,0.5135,0.0366,-92.87
1912,8.0,0.5135,0.0314,-93.89
1912,10.0,0.5135,0.0314,-93.89
3437,-10.0,0.2565,0.2566,0.07
3437,-8.0,0.2565,0.2597,1.27
3437,-6.0,0.2565,0.2566,0.06
3437,-4.0,0.2565,0.254,-0.95
3437,-2.0,0.2565,0.2638,2.84
3437,-1.5,0.2565,0.2641,2.96
3437,-1.0,0.2565,0.2633,2.68
3437,-0.5,0.2565,0.2601,1.44
3437,-0.1,0.2565,0.2571,0.26
3437,0.0,0.2565,0.2565,0.0
3437,0.1,0.2565,0.2565,0.0
3437,0.5,0.2565,0.2556,-0.32
3437,1.0,0.2565,0.2126,-17.12
3437,1.5,0.2565,0.1408,-45.08
3437,2.0,0.2565,0.1172,-54.3
3437,4.0,0.2565,0.1039,-59.49
3437,6.0,0.2565,0.0953,-62.84
3437,8.0,0.2565,0.0959,-62.62
3437,10.0,0.2565,0.0959,-62.62
3980,-10.0,0.6927,0.5951,-14.09
3980,-8.0,0.6927,0.5974,-13.75
3980,-6.0,0.6927,0.6001,-13.37
3980,-4.0,0.6927,0.6847,-1.16
3980,-2.0,0.6927,0.7006,1.14
3980,-1.5,0.6927,0.7006,1.14
3980,-1.0,0.6927,0.723,4.38
3980,-0.5,0.6927,0.7149,3.21
3980,-0.1,0.6927,0.6927,0.0
3980,0.0,0.6927,0.6927,0.0
3980,0.1,0.6927,0.6927,0.0
3980,0.5,0.6927,0.702,1.34
3980,1.0,0.6927,0.6475,-6.53
3980,1.5,0.6927,0.5692,-17.82
3980,2.0,0.6927,0.5428,-21.64
3980,4.0,0.6927,0.5094,-26.46
3980,6.0,0.6927,0.4931,-28.82
3980,8.0,0.6927,0.4957,-28.44
3980,10.0,0.6927,0.4957,-28.44
